Y;X1;X2
10497;7630;2867
11970;8545;3425
7008;6682;326
7407;6693;714
5744;965;4779
12244;4313;7931
13373;9730;3643
6387;1170;5217
8461;7916;545
10139;6441;3698
6930;174;6756
9385;1727;7658
5883;5450;433
18252;9912;8340
14992;6286;8706
7824;6762;1062
10046;1835;8211
5495;4514;981
2665;1197;1468
6000;2882;3118
16819;8452;8367
2240;1487;753
18571;9475;9096
6544;228;6316
9089;4507;4582
7895;4163;3732
6915;6105;810
15383;7170;8213
14513;7771;6742
5224;3674;1550
9303;3287;6016
10181;9495;686
10020;4314;5706
9870;69;9801
15719;8891;6828
1968;1938;30
9802;3222;6580
3146;2286;860
8085;2292;5793
4830;2158;2672
18620;9284;9336
14597;6482;8115
13756;6535;7221
8556;1252;7304
13162;5779;7383
9808;6011;3797
15483;5931;9552
5154;1998;3156
8399;532;7867
18752;9770;8982
9864;7738;2126
13034;5169;7865
3665;626;3039
6223;5715;508
18458;9956;8502
7891;7250;641
6223;3839;2384
10891;1982;8909
8622;7661;961
8255;5171;3084
6300;3541;2759
9051;332;8719
11720;7606;4114
9402;220;9182
19384;9932;9452
11315;9977;1338
15573;6650;8923
13001;7077;5924
9476;680;8796
4888;4324;564
7593;4667;2926
16575;6750;9825
9139;7741;1398
10000;8461;1539
16131;8818;7313
4602;40;4562
7462;6683;779
11907;5158;6749
6669;2434;4235
9021;6626;2395
17598;8840;8758
12447;5098;7349
13752;8430;5322
10350;3442;6908
7732;1613;6119
10429;4937;5492
10344;2279;8065
8956;4221;4735
11930;3748;8182
17724;8776;8948
9763;722;9041
15898;7095;8803
16166;8820;7346
15768;8610;7158
5471;3677;1794
15415;8420;6995
3846;772;3074
11522;6614;4908
7854;6127;1727
15552;9625;5927
16066;8959;7107
17654;8550;9104
16044;9342;6702
9071;8594;477
9786;3196;6590
9222;6174;3048
6192;321;5871
8923;8576;347
11424;9693;1731
7410;1329;6081
5889;761;5128
6097;4309;1788
16468;9958;6510
16722;9875;6847
9464;7066;2398
9127;5698;3429
10108;6917;3191
11592;2440;9152
12001;4140;7861
14501;5992;8509
14869;5697;9172
10613;819;9794
6737;22;6715
11920;8182;3738
8849;1991;6858
13544;4531;9013
8099;3371;4728
5469;1146;4323
9967;6123;3844
5408;4659;749
6786;5816;970
11531;9339;2192
7784;131;7653
11348;6063;5285
12088;5591;6497
17354;9069;8285
8404;6320;2084
6018;275;5743
18518;8776;9742
9725;5676;4049
7282;1007;6275
15987;6767;9220
11711;7238;4473
15812;7516;8296
17697;8665;9032
8045;7338;707
6375;5690;685
9206;5060;4146
9537;2144;7393
8994;8161;833
6590;1948;4642
14888;5602;9286
2100;1880;220
9237;2799;6438
10089;922;9167
15850;6473;9377
8742;2756;5986
16562;6962;9600
14338;7983;6355
11323;6004;5319
5022;1837;3185
5023;3964;1059
6930;2598;4332
16947;7962;8985
9448;4932;4516
8343;6046;2297
9746;3914;5832
7370;4794;2576
9961;7618;2343
12709;6577;6132
11159;9021;2138
12396;7053;5343
7966;1439;6527
14377;5727;8650
5906;3101;2805
18509;9677;8832
15968;6766;9202
9220;4788;4432
11034;1528;9506
9504;4572;4932
16886;7138;9748
13783;8824;4959
6021;4332;1689
9139;5700;3439
10872;5643;5229
7817;6345;1472
11910;8702;3208
7256;4187;3069
6783;3596;3187
9925;2062;7863
9877;1737;8140
12167;2558;9609
14114;6350;7764
8379;7653;726
4033;2753;1280
8134;5051;3083
7358;2421;4937
11201;4886;6315
11228;6480;4748
729;700;29
5887;3290;2597
12038;8398;3640
10375;1140;9235
14201;7493;6708
16287;9279;7008
11415;7184;4231
13335;8945;4390
4690;1960;2730
2535;1752;783
5700;694;5006
3636;3391;245
10434;9858;576
3165;2638;527
9304;9178;126
10099;1239;8860
12523;5572;6951
10793;5795;4998
5851;2912;2939
9425;1566;7859
4854;3527;1327
6078;819;5259
14009;8435;5574
10200;7706;2494
7322;5408;1914
12911;5537;7374
12807;9683;3124
15469;5473;9996
6666;4908;1758
15150;8885;6265
2033;128;1905
15504;8320;7184
7168;2740;4428
2650;1590;1060
4110;556;3554
4590;3251;1339
4850;2224;2626
7425;259;7166
5338;75;5263
9905;7006;2899
5416;2112;3304
6620;6299;321
11326;6082;5244
7930;6034;1896
2519;1891;628
13465;4303;9162
17562;9697;7865
6864;3496;3368
2940;2247;693
4789;3904;885
12590;9312;3278
15501;5950;9551
2977;787;2190
5365;4064;1301
7035;5735;1300
13841;6100;7741
3394;709;2685
14970;8180;6790
9833;1046;8787
13573;7076;6497
12010;5534;6476
10577;5806;4771
12645;7991;4654
8643;692;7951
10448;8016;2432
11995;2598;9397
13568;4921;8647
14045;6798;7247
9090;3152;5938
6165;3229;2936
2184;884;1300
8825;3201;5624
10301;2015;8286
11629;3094;8535
9983;1161;8822
7377;3034;4343
12940;7891;5049
6878;2181;4697
9752;714;9038
8964;6441;2523
8162;2890;5272
12002;9875;2127
13041;4506;8535
14810;7069;7741
8644;3202;5442
11372;7249;4123
15148;5600;9548
11592;1726;9866
14794;5024;9770
6014;3542;2472
15634;5861;9773
16054;6105;9949
15840;5873;9967
18114;8639;9475
12936;5027;7909
11841;7217;4624
16732;8789;7943
2607;2257;350
6854;826;6028
4195;1721;2474
8001;1747;6254
16758;9252;7506
14698;5946;8752
8125;4044;4081
9351;5343;4008
7375;1682;5693
6734;1043;5691
7142;4920;2222
10969;9767;1202
11810;8831;2979
15352;8127;7225
11290;7341;3949
9331;1719;7612
12210;9551;2659
6487;5267;1220
7700;1361;6339
5814;1477;4337
12135;9164;2971
10552;3293;7259
14321;8842;5479
3311;561;2750
19576;9894;9682
3995;2724;1271
4953;1866;3087
10123;2375;7748
14818;9012;5806
10212;7303;2909
2123;1666;457
8556;6594;1962
2127;862;1265
13157;5419;7738
15734;6106;9628
1647;471;1176
5466;4716;750
7843;362;7481
14538;9720;4818
12394;4465;7929
7406;3560;3846
19261;9409;9852
16488;7107;9381
11364;2663;8701
12966;6925;6041
3856;1185;2671
11785;8840;2945
11159;2020;9139
11248;7669;3579
6476;5301;1175
9678;6748;2930
6212;3371;2841
4763;1400;3363
6352;5990;362
15450;6833;8617
3064;984;2080
8766;198;8568
13189;3401;9788
11836;5024;6812
12737;7351;5386
10408;8830;1578
12264;5131;7133
12108;7684;4424
6081;1814;4267
9104;7023;2081
11115;1169;9946
14122;9841;4281
3727;1473;2254
11685;7958;3727
14879;9368;5511
3461;81;3380
7393;7052;341
7816;6403;1413
7820;2905;4915
2874;336;2538
14109;7395;6714
18353;8375;9978
1312;522;790
14189;7473;6716
10835;8923;1912
10565;3700;6865
4822;3973;849
15500;9627;5873
15657;5672;9985
6320;2932;3388
8945;2871;6074
3857;2546;1311
4839;845;3994
9487;9400;87
2834;580;2254
11701;4612;7089
5416;2747;2669
18325;9955;8370
15862;7638;8224
9663;1997;7666
13896;4283;9613
8876;4225;4651
14231;5202;9029
13063;9905;3158
8965;4260;4705
5827;1842;3985
14754;7629;7125
8509;3390;5119
10195;6673;3522
4463;1685;2778
13907;6315;7592
17813;9273;8540
13265;9780;3485
4651;1977;2674
10224;7949;2275
3610;1276;2334
6505;5712;793
16449;7608;8841
13021;7818;5203
1586;1448;138
7980;331;7649
10704;3281;7423
9106;430;8676
13983;9000;4983
11135;2227;8908
11044;9284;1760
6728;6409;319
17946;9548;8398
4558;36;4522
8320;1484;6836
11938;4424;7514
9847;5135;4712
8987;7404;1583
9007;1837;7170
8033;5767;2266
13837;4755;9082
2985;664;2321
11597;9028;2569
18409;9295;9114
7874;1216;6658
13293;7386;5907
19163;9961;9202
7193;6470;723
2821;2459;362
13889;9438;4451
14321;5507;8814
13664;4666;8998
17083;9654;7429
5608;4120;1488
8644;4429;4215
8020;7937;83
2105;1830;275
3967;2894;1073
15937;7189;8748
8761;3332;5429
12926;4776;8150
1303;733;570
2904;1676;1228
4257;2082;2175
16109;6755;9354
5695;2750;2945
13913;8699;5214
15963;9113;6850
1609;762;847
12528;6483;6045
19386;9670;9716
9481;4713;4768
10166;8544;1622
740;527;213
14308;5812;8496
7651;7530;121
13292;7351;5941
4684;4577;107
7496;4470;3026
12686;4563;8123
13778;9229;4549
7247;2780;4467
5003;1109;3894
16657;7472;9185
13879;9962;3917
11319;2256;9063
10056;1475;8581
16741;8352;8389
10283;2954;7329
7511;4526;2985
13047;3810;9237
5693;3657;2036
11381;9238;2143
16286;8914;7372
8702;7622;1080
11923;6494;5429
11827;3279;8548
6455;2965;3490
7619;2648;4971
9284;8369;915
12893;9383;3510
10876;9172;1704
4988;3668;1320
10729;6187;4542
4085;3823;262
9397;8570;827
3281;2166;1115
9606;8048;1558
14222;6007;8215
15214;5904;9310
14808;9132;5676
15620;9686;5934
11167;6764;4403
11511;7843;3668
10985;6386;4599
16145;9959;6186
13237;3361;9876
12678;8240;4438
5551;4467;1084
8631;757;7874
3852;3453;399
17461;9017;8444
12485;6124;6361
6720;4557;2163
10866;3195;7671
15380;7478;7902
13688;9455;4233
6842;1154;5688
5358;4962;396
2282;1448;834
4390;4327;63
10511;4444;6067
15011;6199;8812
18028;8252;9776
11261;5388;5873
12382;3432;8950
9923;4362;5561
5497;3334;2163
15678;6736;8942
15133;7810;7323
8195;1494;6701
6699;6272;427
9574;8847;727
10667;9777;890
13540;5633;7907
15990;8332;7658
10114;9522;592
11709;7522;4187
7752;5143;2609
7158;5991;1167
8701;3694;5007
16074;9357;6717
3545;2651;894
10576;9138;1438
13663;4082;9581
14185;8729;5456
8968;5902;3066
14514;4952;9562
13431;9390;4041
13389;8703;4686
16565;8225;8340
7454;6525;929
7690;2373;5317
15361;9725;5636
2511;2086;425
16224;9742;6482
8634;6213;2421
6603;5366;1237
790;260;530
12334;8767;3567
5099;3072;2027
8831;5460;3371
19117;9747;9370
7163;3847;3316
6105;5792;313
6910;847;6063
13858;7910;5948
17290;9819;7471
8933;6695;2238
6850;263;6587
15315;9495;5820
17681;9793;7888
8065;1106;6959
8951;4878;4073
6725;417;6308
12360;3028;9332
8229;3127;5102
7103;5237;1866
11667;9096;2571
12867;3000;9867
14453;9447;5006
8289;4249;4040
15473;9250;6223
10376;8779;1597
3714;1309;2405
19525;9550;9975
12626;5119;7507
11951;4673;7278
7200;5269;1931
19490;9585;9905
7900;640;7260
10814;7529;3285
10742;6249;4493
11127;4697;6430
9572;2849;6723
13971;4052;9919
8948;4868;4080
7717;7520;197
9869;2667;7202
5877;2027;3850
6955;1133;5822
13241;3447;9794
15599;9216;6383
15610;7417;8193
4845;4458;387
15679;8886;6793
10256;8490;1766
8223;4795;3428
6343;5392;951
18778;8910;9868
8847;4230;4617
3221;743;2478
11853;4001;7852
7415;251;7164
9706;7288;2418
7020;2004;5016
3436;2532;904
15213;7182;8031
12790;5812;6978
4940;1227;3713
18509;9051;9458
8838;5360;3478
10793;6131;4662
10589;3519;7070
13940;5099;8841
15235;8203;7032
10162;9397;765
6655;6046;609
8723;3939;4784
4621;455;4166
6035;335;5700
7784;6978;806
5559;5531;28
10932;9739;1193
12619;3128;9491
15656;7711;7945
9803;1677;8126
9328;1918;7410
17640;9361;8279
17606;8589;9017
8268;3756;4512
18249;9912;8337
7911;778;7133
15899;8476;7423
14943;6772;8171
10340;3870;6470
8379;6237;2142
8355;411;7944
10729;7385;3344
6230;1007;5223
6428;1358;5070
7019;1669;5350
9146;467;8679
8803;994;7809
2737;1810;927
12682;5524;7158
11083;3312;7771
14497;7377;7120
10566;3400;7166
11090;9628;1462
16280;8696;7584
5867;382;5485
13455;6325;7130
16691;9262;7429
14300;9527;4773
17493;8422;9071
18755;8801;9954
11178;2316;8862
14769;8812;5957
12931;5085;7846
12684;7428;5256
6529;5796;733
15708;7485;8223
11655;9025;2630
4656;2610;2046
16088;9563;6525
9915;295;9620
11019;6823;4196
3336;1226;2110
4080;3608;472
8786;5418;3368
7996;7369;627
1282;1228;54
6944;5160;1784
18339;8382;9957
12270;4361;7909
9840;521;9319
8904;6895;2009
18671;9546;9125
10606;2699;7907
11045;6750;4295
4486;4442;44
9855;8705;1150
4853;1317;3536
18190;9742;8448
14853;6235;8618
8377;2770;5607
12602;8286;4316
14689;8212;6477
12744;6653;6091
8883;40;8843
6749;3266;3483
18158;9133;9025
11085;3043;8042
16962;8248;8714
10997;1321;9676
12934;3922;9012
7550;5125;2425
11766;8525;3241
9990;5335;4655
7896;5147;2749
11714;7853;3861
11639;5427;6212
1924;1699;225
4589;1783;2806
11523;6199;5324
17056;9333;7723
15021;7569;7452
8139;1877;6262
8300;4040;4260
3502;2574;928
14999;8683;6316
7150;4387;2763
5843;3729;2114
17170;8877;8293
11408;1793;9615
13722;7078;6644
10494;2921;7573
3867;1395;2472
13139;5502;7637
4899;1490;3409
6059;4936;1123
12748;7291;5457
14253;5123;9130
12912;6769;6143
5493;1429;4064
12069;9058;3011
13982;7292;6690
15305;6387;8918
5617;4260;1357
16377;8670;7707
823;371;452
8878;8831;47
18168;8778;9390
6940;6071;869
13215;9397;3818
8286;738;7548
6592;3002;3590
8726;2831;5895
7849;5105;2744
8805;330;8475
12595;6438;6157
10995;7997;2998
9830;1692;8138
10999;3093;7906
7602;2153;5449
13325;3360;9965
11376;7078;4298
13349;9139;4210
14439;4514;9925
8582;3871;4711
14884;6530;8354
2749;37;2712
11405;7287;4118
6648;6425;223
7846;5225;2621
10431;8550;1881
10113;4440;5673
10365;1763;8602
10167;568;9599
7891;6659;1232
10645;4057;6588
6257;3905;2352
8548;2242;6306
10571;4301;6270
5863;64;5799
6363;6124;239
4827;4271;556
13373;5444;7929
7978;7656;322
9170;299;8871
9819;8062;1757
7387;3964;3423
11586;2061;9525
14998;6359;8639
11301;2099;9202
12592;3688;8904
8696;3562;5134
9139;5419;3720
5000;3269;1731
13582;9954;3628
3560;859;2701
9420;2067;7353
11697;5073;6624
17992;8858;9134
5702;792;4910
15630;9233;6397
10353;9257;1096
11995;2030;9965
8588;3146;5442
9546;468;9078
6884;85;6799
4386;2224;2162
7167;3577;3590
12100;8872;3228
15702;8155;7547
10942;8401;2541
5498;4574;924
8424;3861;4563
2525;502;2023
9481;2372;7109
13466;7224;6242
14778;6258;8520
8578;5577;3001
13493;5972;7521
9121;5722;3399
19551;9580;9971
8452;5274;3178
18283;9839;8444
9573;4597;4976
12184;4518;7666
15706;7833;7873
10896;2838;8058
7876;5336;2540
9752;1163;8589
8260;5381;2879
14840;5789;9051
7070;2029;5041
4130;2162;1968
13821;7539;6282
13407;7489;5918
13142;5152;7990
5311;4213;1098
17068;9737;7331
16307;8394;7913
11024;5758;5266
3601;321;3280
5841;1001;4840
9963;3928;6035
6893;6008;885
15553;9889;5664
3886;193;3693
13388;8128;5260
17591;9301;8290
11884;6793;5091
8429;7944;485
15490;7270;8220
18805;9795;9010
4852;3658;1194
13292;9264;4028
8662;4057;4605
7258;6538;720
6390;545;5845
7559;6258;1301
6617;1838;4779
8231;5431;2800
18137;8459;9678
9918;3373;6545
16291;9600;6691
16382;8977;7405
3891;2942;949
12182;6291;5891
12563;5538;7025
12269;4073;8196
11245;2766;8479
6117;2344;3773
12509;6589;5920
13364;6998;6366
8994;6965;2029
13678;5419;8259
8648;6224;2424
14138;6527;7611
13530;8784;4746
13481;8585;4896
9751;8601;1150
14043;7750;6293
17539;7857;9682
15713;6685;9028
3851;419;3432
2019;1674;345
7462;862;6600
6897;256;6641
3711;3242;469
10470;4792;5678
12730;4251;8479
3387;2656;731
12922;6030;6892
16032;7994;8038
3455;1476;1979
13169;6482;6687
12086;9720;2366
4507;2072;2435
12461;8922;3539
1720;1208;512
18864;9331;9533
15011;5262;9749
13011;8530;4481
4434;33;4401
13146;9777;3369
15595;8800;6795
15079;6298;8781
6367;489;5878
12821;8443;4378
9368;6457;2911
10881;9721;1160
18069;9774;8295
3141;2786;355
5352;4646;706
10842;6680;4162
19128;9170;9958
16720;6851;9869
11968;5141;6827
12569;9038;3531
12198;8637;3561
5198;2692;2506
5628;5578;50
13964;8765;5199
7109;5584;1525
3697;3623;74
12991;3606;9385
13009;9694;3315
11217;8254;2963
7715;6111;1604
13040;8658;4382
10533;2555;7978
17345;8898;8447
14566;4769;9797
16422;8385;8037
4780;1304;3476
18545;8668;9877
7427;5799;1628
4016;2274;1742
18198;9875;8323
13343;5964;7379
8970;6566;2404
5907;3073;2834
9950;3469;6481
10864;4764;6100
14223;6280;7943
5477;2542;2935
9660;1463;8197
15923;7550;8373
9566;3599;5967
13528;6586;6942
1931;837;1094
9748;5522;4226
5020;2736;2284
6804;2506;4298
9956;6358;3598
8036;7842;194
14361;6996;7365
16010;7600;8410
14710;9645;5065
3024;423;2601
12923;4917;8006
14596;8603;5993
11254;8345;2909
9242;7250;1992
11984;7786;4198
12192;8203;3989
11878;7853;4025
14035;4288;9747
5854;1931;3923
14038;8136;5902
16869;7093;9776
2222;820;1402
10464;6207;4257
8443;2826;5617
3547;1090;2457
6087;1345;4742
16032;7467;8565
10977;6842;4135
12916;3881;9035
3618;3495;123
13319;8162;5157
7784;7520;264
6087;3949;2138
532;459;73
7862;644;7218
2986;2125;861
10818;5594;5224
13173;6244;6929
6292;3028;3264
9610;4944;4666
9887;6589;3298
9441;8852;589
2399;228;2171
8634;2391;6243
12063;6689;5374
2368;279;2089
11145;2146;8999
6087;195;5892
6043;3499;2544
7872;2709;5163
16683;8362;8321
9053;5315;3738
15027;6428;8599
13622;5618;8004
12701;5904;6797
13270;4859;8411
5129;4205;924
12843;7355;5488
2672;495;2177
10202;7316;2886
12927;4424;8503
7669;3649;4020
10882;3658;7224
5591;4756;835
12805;3518;9287
15697;9688;6009
5286;5178;108
4958;3321;1637
10571;7294;3277
5511;4178;1333
8338;6586;1752
16305;6720;9585
17151;7475;9676
17369;9129;8240
6507;4872;1635
5285;5128;157
293;232;61
8911;8141;770
9396;6734;2662
13648;5082;8566
12496;3318;9178
13525;3563;9962
17128;9943;7185
1230;386;844
5198;1235;3963
13300;3893;9407
14446;6622;7824
3951;1292;2659
12724;9668;3056
5411;3927;1484
16753;8983;7770
2397;270;2127
8956;2968;5988
7720;3282;4438
9676;3480;6196
9178;2885;6293
7524;5213;2311
7035;603;6432
12006;6910;5096
7324;3507;3817
8664;6608;2056
9773;3103;6670
5582;5022;560
12692;5247;7445
18405;9022;9383
12934;8153;4781
13513;7230;6283
10536;2606;7930
9625;2315;7310
18399;9196;9203
9834;6836;2998
11842;9240;2602
4874;4758;116
4950;4472;478
-13520;-6580;-6940
-12948;-9543;-3405
-14793;-5642;-9151
-11955;-2636;-9319
-14051;-7753;-6298
-6037;-4437;-1600
-9376;-1512;-7864
-5958;-2958;-3000
-15149;-7665;-7484
-9467;-512;-8955
-15958;-9612;-6346
-14950;-9017;-5933
-16399;-8557;-7842
-13758;-6310;-7448
-8597;-8414;-183
-7518;-3429;-4089
-7485;-433;-7052
-18443;-9599;-8844
-6732;-3044;-3688
-11913;-6264;-5649
-7856;-756;-7100
-12179;-2349;-9830
-9051;-802;-8249
-12081;-6124;-5957
-5003;-3283;-1720
-8405;-6901;-1504
-11028;-6899;-4129
-12399;-8446;-3953
-16883;-8178;-8705
-6254;-2593;-3661
-12311;-9770;-2541
-7936;-7542;-394
-9503;-4303;-5200
-15128;-6557;-8571
-9057;-7656;-1401
-11853;-7495;-4358
-7595;-4191;-3404
-7742;-7128;-614
-16999;-7825;-9174
-5877;-554;-5323
-13773;-9467;-4306
-6045;-543;-5502
-16767;-8528;-8239
-7562;-7168;-394
-1604;-1405;-199
-16524;-7759;-8765
-10234;-959;-9275
-13724;-7285;-6439
-6119;-2637;-3482
-13141;-6321;-6820
-12819;-6862;-5957
-7944;-1018;-6926
-7843;-6844;-999
-11787;-9562;-2225
-9193;-5821;-3372
-14683;-7543;-7140
-6984;-1000;-5984
-10986;-4786;-6200
-9263;-8286;-977
-11881;-9845;-2036
-9235;-3956;-5279
-10082;-3414;-6668
-12505;-5383;-7122
-6364;-4029;-2335
-1549;-40;-1509
-5632;-5293;-339
-17542;-8531;-9011
-11560;-2887;-8673
-5516;-4285;-1231
-9586;-7764;-1822
-4197;-2043;-2154
-9318;-781;-8537
-3615;-2634;-981
-17514;-9022;-8492
-15682;-7613;-8069
-14436;-6799;-7637
-6338;-2202;-4136
-15454;-8251;-7203
-4736;-568;-4168
-8274;-3288;-4986
-12948;-3199;-9749
-5471;-1259;-4212
-8039;-5433;-2606
-13215;-9935;-3280
-9741;-6737;-3004
-7903;-2659;-5244
-11074;-4867;-6207
-2309;-548;-1761
-9492;-8169;-1323
-11622;-4371;-7251
-3026;-966;-2060
-13994;-5585;-8409
-13737;-4253;-9484
-15748;-9411;-6337
-10584;-5834;-4750
-16694;-7435;-9259
-15263;-7164;-8099
-14391;-4404;-9987
-11981;-6520;-5461
-8203;-1996;-6207
-15612;-9870;-5742
-11020;-9360;-1660
-7659;-2168;-5491
-9342;-8602;-740
-6602;-3781;-2821
-9999;-5487;-4512
-4875;-2969;-1906
-13856;-6188;-7668
-15829;-9221;-6608
-15268;-5353;-9915
-10318;-6669;-3649
-7887;-1791;-6096
-12047;-7948;-4099
-2079;-1617;-462
-14403;-8141;-6262
-12490;-5265;-7225
-10661;-9238;-1423
-17149;-8554;-8595
-15294;-8700;-6594
-7678;-5865;-1813
-12382;-5023;-7359
-12167;-5060;-7107
-4762;-1609;-3153
-2441;-2374;-67
-15404;-7759;-7645
-17808;-9019;-8789
-15435;-6004;-9431
-16777;-8677;-8100
-7361;-1773;-5588
-5979;-2044;-3935
-4766;-3595;-1171
-6789;-1344;-5445
-7228;-6554;-674
-12025;-6853;-5172
-11440;-3571;-7869
-5258;-3823;-1435
-5429;-842;-4587
-14868;-7479;-7389
-8630;-5101;-3529
-10415;-3769;-6646
-4563;-752;-3811
-10275;-8117;-2158
-11790;-4741;-7049
-10287;-9898;-389
-3190;-1976;-1214
-12548;-5685;-6863
-18973;-9842;-9131
-12727;-8942;-3785
-5795;-2937;-2858
-11133;-8123;-3010
-8268;-2264;-6004
-8860;-6956;-1904
-8398;-6710;-1688
-2757;-2380;-377
-11358;-5570;-5788
-5222;-4801;-421
-11714;-5200;-6514
-13100;-3820;-9280
-12380;-2883;-9497
-694;-244;-450
-14620;-8570;-6050
-9800;-4636;-5164
-131;-32;-99
-8809;-1566;-7243
-9562;-1498;-8064
-10715;-9937;-778
-13531;-5263;-8268
-11059;-5285;-5774
-6193;-1632;-4561
-3299;-658;-2641
-9541;-7893;-1648
-8863;-6464;-2399
-4231;-2046;-2185
-6181;-5918;-263
-13025;-9949;-3076
-13568;-8050;-5518
-12754;-8095;-4659
-11450;-9246;-2204
-11988;-4036;-7952
-5538;-3566;-1972
-12546;-7654;-4892
-5134;-4780;-354
-10403;-6360;-4043
-2800;-554;-2246
-14498;-6186;-8312
-8444;-85;-8359
-6766;-4560;-2206
-11364;-5121;-6243
-4466;-2695;-1771
-5988;-1317;-4671
-832;-485;-347
-5872;-4312;-1560
-12418;-9098;-3320
-2016;-552;-1464
-8716;-18;-8698
-8847;-738;-8109
-19371;-9597;-9774
-7759;-4313;-3446
-10259;-411;-9848
-12118;-7983;-4135
-15339;-7171;-8168
-18097;-8587;-9510
-11079;-7875;-3204
-8597;-8295;-302
-8695;-1779;-6916
-5807;-3838;-1969
-14941;-5991;-8950
-12280;-3297;-8983
-13070;-9037;-4033
-7253;-990;-6263
-14031;-4154;-9877
-12465;-7182;-5283
-5340;-2952;-2388
-10733;-8992;-1741
-2811;-234;-2577
-4786;-3810;-976
-9398;-3201;-6197
-10593;-2473;-8120
-3658;-252;-3406
-4210;-3484;-726
-12444;-5810;-6634
-7007;-1674;-5333
-14040;-4139;-9901
-6317;-4907;-1410
-18200;-9035;-9165
-9207;-4407;-4800
-1046;-182;-864
-2437;-85;-2352
-6908;-4538;-2370
-6187;-2782;-3405
-9359;-2268;-7091
-6420;-861;-5559
-3203;-947;-2256
-7686;-2598;-5088
-6897;-5388;-1509
-10426;-5156;-5270
-11656;-3560;-8096
-3874;-1690;-2184
-8599;-5525;-3074
-13735;-5185;-8550
-11845;-6827;-5018
-2479;-360;-2119
-11931;-6081;-5850
-5514;-4792;-722
-9500;-7481;-2019
-12459;-3676;-8783
